reward/env_8,reward/env_0,reward/env_1,reward/env_2,reward/env_3,reward/env_4,reward/env_5,reward/env_6,reward/env_7,reward/env_9,reward/env_10,reward/env_11,reward/env_12,reward/env_13,reward/env_14,reward/env_15,train/entropy_loss,train/clip_range,train/value_loss,train/std,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length,time/total_timesteps,eval/success_rate
,,,,,,,,,,-357.4939910076401,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-430.5302541258243,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-181.04670432402858,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-408.5357637586673,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-448.22473831061586,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-599.8242132727091,,,,,,,,,,,,,,,
,,,,,,,,,-258.22301811234746,,,,,,,-8.447426295280456,0.2,3258.1502792358397,0.9888849258422852,982.860107421875,0.0003,0.0059293313,0.05555419921875,-9.775161743164062e-06,-0.004306627363530424,30,,,,
-428.7924828506619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-333.03047203568883,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-565.6085346942317,,,,,,,,,,,,,,,,,,,
,-209.51100716124424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-201.4595363852316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-264.11407799196706,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-392.975951749151,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-480.9198582377935,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-333.29371366099724,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-270.38200808547265,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-385.681485483378,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-415.7588952355407,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-184.3029349211969,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-309.85558634490064,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-496.536816318748,,,,,,,,,,,,,,,
,,,,,,,,,-486.3537558792238,,,,,,,,,,,,,,,,,,,,,
-361.5418679881362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-429.0902248281815,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-419.76461784653395,,,,,,,,,,,,,,,,,,,
,-269.50370697487983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-260.66270661590033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-384.4324758562716,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-490.40429081052946,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-457.78187775508684,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-302.8348281622751,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-406.3923007148821,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-257.77372571997495,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-431.5980071902277,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-250.64216120611349,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-375.2879902290348,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-373.48047863167034,,,,,,,,,,,,,,,
,,,,,,,,,-215.03891866616317,,,,,,,,,,,,,,,,,,,,,
-441.11781910494153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-481.16907934792715,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-416.4581254086596,,,,,,,,,,,,,,,,,,,
,-225.97317832506778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-338.9926038064079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-201.23427699256007,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-251.22755208051754,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-277.42986801747605,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-251.92374673274463,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-410.6247834112993,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-429.42089391070493,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-368.05802597462036,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-196.49576222003557,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-571.8950931896271,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-245.93534084367064,,,,,,,,,,,,,,,
,,,,,,,,,-478.81048743046614,,,,,,,,,,,,,,,,,,,,,
-313.8024865389006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-509.8554151563218,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-396.48174040506984,,,,,,,,,,,,,,,,,,,
,-283.2026222081639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-353.4066039326092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-324.6670099804474,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-273.863095372253,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-338.5308580123992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-202.5036391713557,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-250.2277335042532,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-410.073543870727,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-353.2625264427796,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-389.52989847881884,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-569.5005889017596,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-195.18686803636675,,,,,,,,,,,,,,,
,,,,,,,,,-397.1242210983758,,,,,,,-8.408914977312088,0.2,2716.2966819763183,0.981548011302948,941.5167846679688,0.0003,0.0073563103,0.062744140625,-8.821487426757812e-06,-0.003877371419912379,40,,,,
-205.8595773480052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-473.91961697802617,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-288.3745546108246,,,,,,,,,,,,,,,,,,,
,-370.5303122494802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-425.5593080333192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-404.839145640875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-411.5344775810401,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-333.09454679918747,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-378.9266858426118,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-282.65538659841457,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-475.11153040380424,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-278.1584035022996,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-316.6286169486387,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-227.58698979946567,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-400.27557807412524,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-251.11260228999998,102.0,144000,0.0
,,,,,,,,,-392.75079831974347,,,,,,,,,,,,,,,,,,,,,
-370.4143102344502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-408.9186204979698,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-503.04491249513524,,,,,,,,,,,,,,,,,,,
,-564.8702550020356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-462.0856638449144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-485.72554135850805,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-336.6040924036613,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-299.3933260380047,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-283.7276387314042,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-331.4154906075134,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-418.3768799377809,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-401.2606722795698,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-231.2806985138665,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-571.3496276769454,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-510.3227530723533,,,,,,,,,,,,,,,
,,,,,,,,,-404.60150084604646,,,,,,,,,,,,,,,,,,,,,
-358.30183366540894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-203.1666227812366,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-361.89142515512674,,,,,,,,,,,,,,,,,,,
,-306.7510152993637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-243.2431000858133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-367.77871346915686,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-300.61597198781857,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-453.70317059595317,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-496.1829600382298,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-620.6942187640469,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-261.25768305357036,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-254.33055564216662,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-552.934051875103,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-210.67691404154817,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-301.2034748491732,,,,,,,,,,,,,,,
,,,,,,,,,-196.7162057765859,,,,,,,,,,,,,,,,,,,,,
-378.4247260833243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-419.12343955562073,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-247.9433517867489,,,,,,,,,,,,,,,,,,,
,-347.07089996438924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-630.2343271400989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-298.8715145007596,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-388.2061660942567,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-411.8685171663181,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-434.01016715215303,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-409.514903728173,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-514.8396269532494,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-403.2473830669684,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-466.3424749892979,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-236.1369699414027,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-233.28140180971414,,,,,,,,,,,,,,,
,,,,,,,,,-338.79855680300955,,,,,,,-8.388800444453954,0.2,2796.145980167389,0.9774309992790222,1226.5562744140625,0.0003,0.012620593,0.0748199462890625,-5.364418029785156e-06,-0.003975780050859612,50,,,,
-506.305666223505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-651.342700062631,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-380.9776366011792,,,,,,,,,,,,,,,,,,,
,-232.25963371159128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-317.7385225705039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-226.38501449385868,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-360.9888953653599,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-276.65407682887195,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-267.38407134628676,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-429.9353842855492,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-688.4210225411796,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-383.47691313099125,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-354.98018407844086,,,,,,,,,,,,,,,,,
