reward/env_0,reward/env_1,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,eval/success_rate,eval/std_reward,train/explained_variance,eval/mean_reward,train/n_updates,train/learning_rate
-1322.040244494699,,,,,,,,,,,,,,,
,-1263.9518450338217,,,,,,,,,,,,,,
-1301.8953099619416,,,,,,,,,,,,,,,
,-1081.9264306654202,,,,,,,,,,,,,,
-1577.2799145312829,,,,,,,,,,,,,,,
,-1227.1881900763344,,,,,,,,,,,,,,
-1286.1044930959963,,,,,,,,,,,,,,,
,-1296.1645619902968,,,,,,,,,,,,,,
,,101442.43203125,0.2,0.0011078329,4.8828125e-05,1.0046768188476562,53416.8046875,-8.540591430664062,-0.001250240980880335,0.0,28.336719991366095,-2.6106834411621094e-05,-993.0666866167506,100,0.0003
-1484.522859960961,,,,,,,,,,,,,,,
,-1217.7780395492002,,,,,,,,,,,,,,
-1242.2720607538051,,,,,,,,,,,,,,,
,-1312.2074761044344,,,,,,,,,,,,,,
-1266.8970578337462,,,,,,,,,,,,,,,
,-1576.633488034467,,,,,,,,,,,,,,
-1169.3274168645771,,,,,,,,,,,,,,,
,-1195.7985424570597,,,,,,,,,,,,,,
,,101224.55,0.2,0.00033224517,0.0,1.0042506456375122,51114.0859375,-8.540755128860473,-0.00017141229473054408,0.0,7.988774613554368,-4.649162292480469e-06,-998.7056784761342,110,0.0003
-1289.1561316896275,,,,,,,,,,,,,,,
,-1222.1916000342703,,,,,,,,,,,,,,
-1302.9528426510255,,,,,,,,,,,,,,,
,-1494.4602161550113,,,,,,,,,,,,,,
-1411.7798802898355,,,,,,,,,,,,,,,
,-1273.807811375349,,,,,,,,,,,,,,
-1413.7831224130218,,,,,,,,,,,,,,,
,-1156.4072036162488,,,,,,,,,,,,,,
,,103045.453515625,0.2,0.00020343022,0.0,1.0025081634521484,54730.7578125,-8.534656667709351,-0.00035533897462300954,0.0,8.062085872885563,-5.2094459533691406e-05,-987.6531331687049,120,0.0003
-1169.1407479753666,,,,,,,,,,,,,,,
,-1430.7647715411208,,,,,,,,,,,,,,
-1468.4630622642458,,,,,,,,,,,,,,,
,-1487.7489852152958,,,,,,,,,,,,,,
-1343.7445700327223,,,,,,,,,,,,,,,
,-1180.2911209279582,,,,,,,,,,,,,,
-1351.789191711042,,,,,,,,,,,,,,,
,-1566.6714040390716,,,,,,,,,,,,,,
,,109851.028125,0.2,0.00029316437,0.0,1.002366542816162,53341.06640625,-8.526866245269776,-0.0003920023620594293,0.0,60.605751520695826,-9.5367431640625e-06,-1005.9644689376395,130,0.0003
-1248.4594224011712,,,,,,,,,,,,,,,
,-1119.53438977443,,,,,,,,,,,,,,
-1207.498433083742,,,,,,,,,,,,,,,
,-1300.040722739922,,,,,,,,,,,,,,
-1519.6600933837467,,,,,,,,,,,,,,,
,-1221.5450606675086,,,,,,,,,,,,,,
-1409.5437854058562,,,,,,,,,,,,,,,
,-1332.4391520064357,,,,,,,,,,,,,,
,,103557.583984375,0.2,0.0002836616,0.0,1.00251305103302,53405.0,-8.528481245040894,-0.00022662024712190033,0.0,31.9837399312468,6.496906280517578e-06,-1003.5804082441631,140,0.0003
-1299.69639855239,,,,,,,,,,,,,,,
,-1169.6786737347888,,,,,,,,,,,,,,
-1143.6291859773992,,,,,,,,,,,,,,,
,-1222.2071751281233,,,,,,,,,,,,,,
-1187.7904620980028,,,,,,,,,,,,,,,
,-1367.2662405911012,,,,,,,,,,,,,,
-1323.4987377318346,,,,,,,,,,,,,,,
,-1210.5605933501238,,,,,,,,,,,,,,
,,99558.086328125,0.2,0.00042670555,0.0,1.0018740892410278,47423.00390625,-8.52709412574768,-0.0006654809752944857,0.0,40.12558914259153,2.86102294921875e-06,-1003.2645444072319,150,0.0003
-1180.637708417724,,,,,,,,,,,,,,,
,-1552.9809909959502,,,,,,,,,,,,,,
-1261.067945047167,,,,,,,,,,,,,,,
,-1273.4050693619338,,,,,,,,,,,,,,
-1403.3661693041054,,,,,,,,,,,,,,,
,-1135.0669314239694,,,,,,,,,,,,,,
-1295.1288044025198,,,,,,,,,,,,,,,
,-1319.1295185727827,,,,,,,,,,,,,,
,,99414.52578125,0.2,0.0010388751,0.0,1.0012754201889038,49352.0078125,-8.522903633117675,-0.0011351117223966866,0.0,45.07505240545722,-1.1920928955078125e-07,-1033.3823908515349,160,0.0003
-1395.4314242800742,,,,,,,,,,,,,,,
,-1337.6166990471713,,,,,,,,,,,,,,
-1225.3383319979805,,,,,,,,,,,,,,,
,-1209.383921639172,,,,,,,,,,,,,,
-1674.4046975259346,,,,,,,,,,,,,,,
,-1173.2556998823131,,,,,,,,,,,,,,
-1181.3342234287302,,,,,,,,,,,,,,,
,-1437.414819551759,,,,,,,,,,,,,,
,,103697.045703125,0.2,0.0007528927,0.0,1.0006341934204102,53852.69140625,-8.519449234008789,-0.0007429124671034515,0.0,55.528295096227325,-2.0623207092285156e-05,-1050.79398049435,170,0.0003
-1173.6646940510211,,,,,,,,,,,,,,,
,-1159.3546221676186,,,,,,,,,,,,,,
-1295.2864417355943,,,,,,,,,,,,,,,
,-1411.2716887447027,,,,,,,,,,,,,,
-1106.0426573793993,,,,,,,,,,,,,,,
,-1177.693129564418,,,,,,,,,,,,,,
-1323.9533125685316,,,,,,,,,,,,,,,
,-1113.6309119539403,,,,,,,,,,,,,,
,,97999.23125,0.2,0.0006931509,0.0,0.9996100068092346,49428.0,-8.514600992202759,-0.0008061353000812232,0.0,55.40106323152924,-6.9141387939453125e-06,-1034.1272956463913,180,0.0003
-1413.1475594236417,,,,,,,,,,,,,,,
,-1204.8211082049218,,,,,,,,,,,,,,
-1664.9520788802304,,,,,,,,,,,,,,,
,-1533.269446388385,,,,,,,,,,,,,,
-1627.866412752046,,,,,,,,,,,,,,,
,-1491.8536605071897,,,,,,,,,,,,,,
-1172.7914530467103,,,,,,,,,,,,,,,
,-1313.7307691151887,,,,,,,,,,,,,,
,,111262.3328125,0.2,0.0005805158,0.0,0.9994471669197083,53735.20703125,-8.51006851196289,-0.0005527163157239556,0.0,51.967300178591366,-2.9921531677246094e-05,-1011.0949620018886,190,0.0003
-1299.6876968097738,,,,,,,,,,,,,,,
,-1275.5423886695505,,,,,,,,,,,,,,
-1132.9628416119197,,,,,,,,,,,,,,,
,-1443.9670651275717,,,,,,,,,,,,,,
-1266.946191928504,,,,,,,,,,,,,,,
,-1315.1192086137594,,,,,,,,,,,,,,
-1149.1632947932337,,,,,,,,,,,,,,,
,-1316.8691990944606,,,,,,,,,,,,,,
,,100596.31328125,0.2,6.703295e-05,0.0,0.9996962547302246,52559.90234375,-8.510858917236328,-7.01244454830885e-05,0.0,21.531295995331785,-3.707408905029297e-05,-970.3042069165355,200,0.0003
-1290.663524105364,,,,,,,,,,,,,,,
,-1076.305462949286,,,,,,,,,,,,,,
-1313.3892906998178,,,,,,,,,,,,,,,
,-1481.7305584224282,,,,,,,,,,,,,,
-1169.3958638809443,,,,,,,,,,,,,,,
,-1153.2505081938275,,,,,,,,,,,,,,
-1280.1536437142754,,,,,,,,,,,,,,,
,-1174.2420056349188,,,,,,,,,,,,,,
,,96845.2875,0.2,0.00044985057,0.0,1.0003107786178589,48171.0234375,-8.51316704750061,-0.0005995181039907038,0.0,40.00221840007843,-3.1828880310058594e-05,-962.0362692040559,210,0.0003
-1347.8875077071593,,,,,,,,,,,,,,,
,-1134.371508979059,,,,,,,,,,,,,,
-1229.9711388140734,,,,,,,,,,,,,,,
,-1431.744463158151,,,,,,,,,,,,,,
-1449.4661799800447,,,,,,,,,,,,,,,
,-1458.1596135027685,,,,,,,,,,,,,,
-1455.2946878333357,,,,,,,,,,,,,,,
,-1103.5243180818902,,,,,,,,,,,,,,
,,104596.140625,0.2,0.0007694978,0.0,1.0010980367660522,50343.66015625,-8.517609643936158,-0.0008985819178633392,0.0,14.839886586315815,-2.491474151611328e-05,-963.6930119559532,220,0.0003
-1592.2271404825137,,,,,,,,,,,,,,,
,-1342.5731781103439,,,,,,,,,,,,,,
-1178.6697625680058,,,,,,,,,,,,,,,
,-1142.067436096196,,,,,,,,,,,,,,
-1380.5507506497963,,,,,,,,,,,,,,,
,-1263.2469368191003,,,,,,,,,,,,,,
-1356.2240211166222,,,,,,,,,,,,,,,
,-1231.3623270577248,,,,,,,,,,,,,,
,,97405.92890625,0.2,0.00050653383,0.0,1.0012081861495972,48356.25,-8.520841789245605,-0.0004454447538591921,0.0,17.692856116831084,-5.0067901611328125e-06,-987.2019334545352,230,0.0003
-1306.460299074552,,,,,,,,,,,,,,,
,-1273.207889568577,,,,,,,,,,,,,,
-1170.2621745364559,,,,,,,,,,,,,,,
,-1391.6260772282783,,,,,,,,,,,,,,
-1290.0894566328795,,,,,,,,,,,,,,,
,-1229.6096625863818,,,,,,,,,,,,,,
-1122.7387956618174,,,,,,,,,,,,,,,
,-1234.5948812664724,,,,,,,,,,,,,,
,,97138.0515625,0.2,0.00041568754,0.0,1.001520037651062,48986.30859375,-8.521286106109619,-0.0005340556759620086,0.0,25.596207039379244,6.496906280517578e-06,-1070.5507629234291,240,0.0003
-1184.653733238879,,,,,,,,,,,,,,,
,-1258.782154025223,,,,,,,,,,,,,,
-1438.1396592221936,,,,,,,,,,,,,,,
,-1208.9005274485837,,,,,,,,,,,,,,
-1370.8084484626572,,,,,,,,,,,,,,,
,-1194.4592526044876,,,,,,,,,,,,,,
-1162.694355485632,,,,,,,,,,,,,,,
,-1424.1066461700377,,,,,,,,,,,,,,
,,99422.00703125,0.2,0.0008331513,0.0,1.000917911529541,47087.265625,-8.521534252166749,-0.0008922969223931432,0.0,84.96347747053731,-9.655952453613281e-06,-1043.0932843546502,250,0.0003
-1110.912698796164,,,,,,,,,,,,,,,
,-1162.1978658930898,,,,,,,,,,,,,,
-1415.4909324028945,,,,,,,,,,,,,,,
,-1245.4730269243857,,,,,,,,,,,,,,
-1482.6066142919735,,,,,,,,,,,,,,,
,-1292.3974614039748,,,,,,,,,,,,,,
-1203.6573661020295,,,,,,,,,,,,,,,
,-1245.2447209590616,,,,,,,,,,,,,,
,,99734.97265625,0.2,0.00010532852,0.0,1.0005425214767456,47647.546875,-8.517394018173217,-4.450278938747942e-05,0.0,24.371394312712447,-8.106231689453125e-06,-1018.9615025772721,260,0.0003
-1254.7536944999988,,,,,,,,,,,,,,,
,-1439.536786490978,,,,,,,,,,,,,,
-1209.435392034865,,,,,,,,,,,,,,,
,-1194.3221069234999,,,,,,,,,,,,,,
-1620.239032016554,,,,,,,,,,,,,,,
,-1286.1709738149548,,,,,,,,,,,,,,
-1242.4670495898456,,,,,,,,,,,,,,,
,-1200.4874537738144,,,,,,,,,,,,,,
,,99590.065234375,0.2,0.00015466186,0.0,1.000000238418579,51612.6015625,-8.515492010116578,-0.00019803614122793078,0.0,25.71955425303765,-2.205371856689453e-05,-1040.635640330239,270,0.0003
-1252.8778700572273,,,,,,,,,,,,,,,
,-1260.9279403750445,,,,,,,,,,,,,,
-1221.5137610491943,,,,,,,,,,,,,,,
,-1167.7451821662266,,,,,,,,,,,,,,
-1201.0386221725726,,,,,,,,,,,,,,,
,-1176.0681195147868,,,,,,,,,,,,,,
-1291.9670032222923,,,,,,,,,,,,,,,
,-1395.3069399894052,,,,,,,,,,,,,,
,,95157.96171875,0.2,0.00035207585,0.0,0.9989250302314758,48336.7109375,-8.510597467422485,-0.0005502207088284195,0.0,29.547414784302582,-2.2292137145996094e-05,-1081.6748169986429,280,0.0003
-1044.4089936542368,,,,,,,,,,,,,,,
,-1092.0093277086783,,,,,,,,,,,,,,
-1385.156490734827,,,,,,,,,,,,,,,
,-1285.5995312219045,,,,,,,,,,,,,,
-1186.4906432398973,,,,,,,,,,,,,,,
,-1239.1164309549636,,,,,,,,,,,,,,
-1255.831611456097,,,,,,,,,,,,,,,
,-1274.4836966334622,,,,,,,,,,,,,,
,,97629.654296875,0.2,0.0003390272,0.0,0.998140811920166,51438.3359375,-8.504479503631591,-0.00036314782628323885,0.0,53.59360814382771,-1.704692840576172e-05,-1067.7764047498235,290,0.0003
-1343.138140401833,,,,,,,,,,,,,,,
,-1166.3382843547934,,,,,,,,,,,,,,
-1412.2962923162554,,,,,,,,,,,,,,,
,-1336.9314964004564,,,,,,,,,,,,,,
-1275.022619606849,,,,,,,,,,,,,,,
,-1291.5445882727204,,,,,,,,,,,,,,
-1360.4486805480515,,,,,,,,,,,,,,,
,-1291.3038350547954,,,,,,,,,,,,,,
,,99839.65546875,0.2,0.0006735192,0.0,0.9975242018699646,47257.6796875,-8.500473642349244,-0.0008137327793519944,0.0,121.51473720588707,-2.0623207092285156e-05,-1118.0285297357352,300,0.0003
-1055.089379060683,,,,,,,,,,,,,,,
,-1094.8165471328784,,,,,,,,,,,,,,
-1314.239007601409,,,,,,,,,,,,,,,
,-1229.4292031605632,,,,,,,,,,,,,,
-1106.501034771546,,,,,,,,,,,,,,,
,-1254.015504831661,,,,,,,,,,,,,,
-1121.9619707601653,,,,,,,,,,,,,,,
,-1198.8510550159585,,,,,,,,,,,,,,
,,93995.2546875,0.2,0.0017436198,0.0001953125,0.9981539845466614,48645.39453125,-8.499527549743652,-0.0018783131847158075,0.0,24.524738806319974,-2.9802322387695312e-06,-930.9857951078336,310,0.0003
-1309.79295398164,,,,,,,,,,,,,,,
,-1304.4908643393678,,,,,,,,,,,,,,
-1216.867076210021,,,,,,,,,,,,,,,
,-1146.4419417273828,,,,,,,,,,,,,,
-1126.4388305722982,,,,,,,,,,,,,,,
,-1104.1292387522274,,,,,,,,,,,,,,
-1172.7370355190021,,,,,,,,,,,,,,,
,-1098.6095282548056,,,,,,,,,,,,,,
,,90991.303515625,0.2,0.0010756657,2.44140625e-05,0.9985408186912537,45547.09375,-8.503858280181884,-0.0007047206570859998,0.0,35.1948205832966,-8.106231689453125e-06,-894.8704311442959,320,0.0003
-1331.5899156948158,,,,,,,,,,,,,,,
,-1352.0229972528418,,,,,,,,,,,,,,
-1125.3889244832403,,,,,,,,,,,,,,,
,-1152.629704064268,,,,,,,,,,,,,,
-1338.3457131421849,,,,,,,,,,,,,,,
,-1215.8564139283299,,,,,,,,,,,,,,
-1064.1361403512806,,,,,,,,,,,,,,,
,-1166.2874897327806,,,,,,,,,,,,,,
,,98634.0171875,0.2,0.0002447751,0.0,0.9985346794128418,51192.56640625,-8.504485416412354,-0.0003366655408171937,0.0,42.542793875524325,-5.9604644775390625e-06,-902.1857377609949,330,0.0003
-1524.5396077790435,,,,,,,,,,,,,,,
,-1310.041639550192,,,,,,,,,,,,,,
-1234.6172994542958,,,,,,,,,,,,,,,
,-1532.746543485209,,,,,,,,,,,,,,
-1033.26571873768,,,,,,,,,,,,,,,
,-1240.0367533826352,,,,,,,,,,,,,,
-1310.9103432425725,,,,,,,,,,,,,,,
,-1294.3481661016017,,,,,,,,,,,,,,
,,98541.42890625,0.2,0.00035033442,0.0,0.9989622235298157,50485.23046875,-8.50531759262085,-0.00046750063193030656,0.0,65.21215243900635,-7.748603820800781e-06,-973.5429421243219,340,0.0003
-1186.0147684244043,,,,,,,,,,,,,,,
,-1370.8529390900608,,,,,,,,,,,,,,
-1216.327332570679,,,,,,,,,,,,,,,
,-1136.4618641836594,,,,,,,,,,,,,,
-1182.279339307002,,,,,,,,,,,,,,,
,-1268.7400282498613,,,,,,,,,,,,,,
-1223.6200345492084,,,,,,,,,,,,,,,
,-1271.9636168226111,,,,,,,,,,,,,,
,,95219.311328125,0.2,0.00019258728,0.0,0.9998762011528015,44427.34375,-8.509347772598266,-0.00026339758187532425,0.0,32.41261373620982,-1.9788742065429688e-05,-927.150536207066,350,0.0003
-1333.7071934583912,,,,,,,,,,,,,,,
,-1159.313527256103,,,,,,,,,,,,,,
-1384.821145805455,,,,,,,,,,,,,,,
,-1143.9553013920558,,,,,,,,,,,,,,
-1118.7208816042773,,,,,,,,,,,,,,,
,-1209.2173385569245,,,,,,,,,,,,,,
-1359.915843122226,,,,,,,,,,,,,,,
,-1073.2771860142998,,,,,,,,,,,,,,
,,94492.171484375,0.2,0.00020859804,0.0,1.0011875629425049,46506.6953125,-8.515996170043945,-0.00029709351365454496,0.0,45.102116198611036,-9.894371032714844e-06,-941.0264325330743,360,0.0003
-1051.46149118658,,,,,,,,,,,,,,,
,-1204.1227936754906,,,,,,,,,,,,,,
-1219.6647729200663,,,,,,,,,,,,,,,
,-1120.826892858464,,,,,,,,,,,,,,
-1235.3066062392013,,,,,,,,,,,,,,,
,-1079.4679346938558,,,,,,,,,,,,,,
-1314.1252324286731,,,,,,,,,,,,,,,
,-1169.8876213135832,,,,,,,,,,,,,,
,,91235.343359375,0.2,0.00079732586,0.0,1.0020828247070312,45497.94140625,-8.523011398315429,-0.000932315067620948,0.0,52.125623855526,-4.0531158447265625e-06,-941.2771384106442,370,0.0003
-1119.720532047453,,,,,,,,,,,,,,,
,-1397.755857652352,,,,,,,,,,,,,,
-1182.6930906267248,,,,,,,,,,,,,,,
,-1293.9264188703587,,,,,,,,,,,,,,
-1334.3710356619235,,,,,,,,,,,,,,,
,-1443.9454808134867,,,,,,,,,,,,,,
-1124.7712975143718,,,,,,,,,,,,,,,
,-1073.2047706693952,,,,,,,,,,,,,,
,,96752.105078125,0.2,0.000660534,0.0,1.0015641450881958,48753.30078125,-8.524776363372803,-0.0007053566165268421,0.0,36.75405904595147,-8.58306884765625e-06,-963.3457787009114,380,0.0003
-1141.1447032529431,,,,,,,,,,,,,,,
,-1217.3368503838547,,,,,,,,,,,,,,
-1204.4745310657106,,,,,,,,,,,,,,,
,-1244.817278520533,,,,,,,,,,,,,,
-1171.42353300073,,,,,,,,,,,,,,,
,-1109.8830413759554,,,,,,,,,,,,,,
-1186.8028304919583,,,,,,,,,,,,,,,
,-1027.296963167971,,,,,,,,,,,,,,
,,91877.044921875,0.2,0.0004966488,0.0,1.001137137413025,45886.85546875,-8.520603895187378,-0.0004351913812570274,0.0,20.56680912049369,-1.430511474609375e-05,-1012.9698053347677,390,0.0003
-1388.0035133521937,,,,,,,,,,,,,,,
,-1152.8834243690394,,,,,,,,,,,,,,
-1192.2139768992708,,,,,,,,,,,,,,,
,-1359.266338348255,,,,,,,,,,,,,,
-1151.526617335602,,,,,,,,,,,,,,,
,-1367.0882309907201,,,,,,,,,,,,,,
-1204.5870926734592,,,,,,,,,,,,,,,
,-1156.6629649063682,,,,,,,,,,,,,,
,,99621.263671875,0.2,0.0004965109,0.0,1.0010898113250732,49036.72265625,-8.519505834579467,-0.0006413412862457335,0.0,31.163026240500116,-1.7523765563964844e-05,-1004.7353257370962,400,0.0003
-1147.4306454141934,,,,,,,,,,,,,,,
,-1496.5265198768432,,,,,,,,,,,,,,
-1369.0527658664053,,,,,,,,,,,,,,,
,-1336.2825402575004,,,,,,,,,,,,,,
-1252.5624927741173,,,,,,,,,,,,,,,
,-1175.2350923472363,,,,,,,,,,,,,,
-1213.0854286642655,,,,,,,,,,,,,,,
,-1138.5432801718532,,,,,,,,,,,,,,
,,95555.90859375,0.2,0.0006604673,0.0,1.0013346672058105,48854.0546875,-8.519978570938111,-0.0006199238559929654,0.0,24.084942340822145,-1.1324882507324219e-05,-943.3347953896025,410,0.0003
-1130.4773478297122,,,,,,,,,,,,,,,
,-1184.8503036408335,,,,,,,,,,,,,,
-1247.3648033101858,,,,,,,,,,,,,,,
,-1249.922286420579,,,,,,,,,,,,,,
-1152.8927925311668,,,,,,,,,,,,,,,
,-1691.7985703844074,,,,,,,,,,,,,,
-1308.3653308432658,,,,,,,,,,,,,,,
,-1299.6214277155316,,,,,,,,,,,,,,
,,101766.108203125,0.2,0.00066220126,0.0,1.0025662183761597,49346.3046875,-8.523585796356201,-0.0007885091239586472,0.0,33.67270888773957,-2.0384788513183594e-05,-913.1609578587698,420,0.0003
-1044.296525146388,,,,,,,,,,,,,,,
,-1278.565297908792,,,,,,,,,,,,,,
-1157.5651371171887,,,,,,,,,,,,,,,
,-1194.9535573410371,,,,,,,,,,,,,,
-1220.558052499591,,,,,,,,,,,,,,,
,-1187.8845418573596,,,,,,,,,,,,,,
-1214.276074439566,,,,,,,,,,,,,,,
,-1284.1399634424524,,,,,,,,,,,,,,
,,92064.58984375,0.2,0.00035431824,0.0,1.0029226541519165,44625.50390625,-8.529872608184814,-0.0003388254030141979,0.0,22.323780992896218,-5.7220458984375e-06,-898.8161478495069,430,0.0003
-1095.845251443634,,,,,,,,,,,,,,,
,-1221.7857227105367,,,,,,,,,,,,,,
-1286.0995734083124,,,,,,,,,,,,,,,
,-1256.0271954197285,,,,,,,,,,,,,,
-1092.1081559320085,,,,,,,,,,,,,,,
,-1043.836554874788,,,,,,,,,,,,,,
-1190.124085409076,,,,,,,,,,,,,,,
,-1098.1481679078809,,,,,,,,,,,,,,
,,88111.065234375,0.2,0.0004708256,0.0,1.003250241279602,45345.77734375,-8.530715465545654,-0.00035925970296375455,0.0,26.625622036067025,-6.556510925292969e-06,-882.6722810597836,440,0.0003
-1113.3709167632599,,,,,,,,,,,,,,,
,-1019.6850150716542,,,,,,,,,,,,,,
-1214.4671900408089,,,,,,,,,,,,,,,
,-1251.12982639337,,,,,,,,,,,,,,
-1033.7871514842543,,,,,,,,,,,,,,,
,-1147.657097090353,,,,,,,,,,,,,,
-1243.5073326579973,,,,,,,,,,,,,,,
,-1117.2806945211798,,,,,,,,,,,,,,
,,92320.16953125,0.2,0.0004570285,0.0,1.0032596588134766,44833.33203125,-8.532485675811767,-0.00045248008100315926,0.0,54.93169291531513,-1.2040138244628906e-05,-896.7931941655659,450,0.0003
-1105.6333386102635,,,,,,,,,,,,,,,
,-1382.4832097407877,,,,,,,,,,,,,,
-1101.35514553456,,,,,,,,,,,,,,,
,-1184.1762576891829,,,,,,,,,,,,,,
-1310.4941989072,,,,,,,,,,,,,,,
,-1241.0732498349644,,,,,,,,,,,,,,
-1176.3685219297954,,,,,,,,,,,,,,,
,-1051.9802860571006,,,,,,,,,,,,,,
,,91455.8515625,0.2,0.00012581557,0.0,1.0028815269470215,44546.2109375,-8.531186056137084,-0.00015178733738139272,0.0,25.52479970203417,-5.245208740234375e-06,-881.2421904708069,460,0.0003
