reward/env_0,reward/env_1,train/loss,train/policy_gradient_loss,eval/std_reward,train/value_loss,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,eval/mean_reward,train/entropy_loss,eval/success_rate,train/clip_fraction,train/learning_rate,train/std
,-249.74747557664946,,,,,,,,,,,,,,
-388.4550638301897,,,,,,,,,,,,,,,
,-425.0769869077447,,,,,,,,,,,,,,
-263.98257742649696,,,,,,,,,,,,,,,
,-304.7552537500252,,,,,,,,,,,,,,
-334.08147127951105,,,,,,,,,,,,,,,
,-289.6779055204938,,,,,,,,,,,,,,
,,2368.41943359375,-0.004295409744372591,93.83397684951929,5078.614331054688,70,0.2,0.0069761747,-0.0013991594314575195,-41.608351524943465,-8.508152866363526,0.0,0.0179931640625,0.0003,0.9986488223075867
-137.72982499538094,,,,,,,,,,,,,,,
,-340.3051691281273,,,,,,,,,,,,,,
-252.34789916102756,,,,,,,,,,,,,,,
,-388.76944695945497,,,,,,,,,,,,,,
-426.8338266890454,,,,,,,,,,,,,,,
,-413.00210308359846,,,,,,,,,,,,,,
-220.64853752980562,,,,,,,,,,,,,,,
,-624.8979520021109,,,,,,,,,,,,,,
,,3124.948486328125,-0.0021071829076390715,87.95246655883317,6528.999926757812,80,0.2,0.0041387705,-0.0007216930389404297,-19.95584838350522,-8.50230450630188,0.0,0.0068115234375,0.0003,0.9976257681846619
-289.12784959480484,,,,,,,,,,,,,,,
,-346.37454717659205,,,,,,,,,,,,,,
-355.8433472481075,,,,,,,,,,,,,,,
,-329.1390093917203,,,,,,,,,,,,,,
-399.0898367227997,,,,,,,,,,,,,,,
,-244.1425406828235,,,,,,,,,,,,,,
-399.73174957089424,,,,,,,,,,,,,,,
,-326.5328266162222,,,,,,,,,,,,,,
,,2267.8916015625,-0.0037935699219815433,108.30426415748663,4607.9744873046875,90,0.2,0.0053971373,0.0002480149269104004,-143.60084676279553,-8.49639663696289,0.0,0.0091064453125,0.0003,0.9968023300170898
-112.85951963438909,,,,,,,,,,,,,,,
,-358.7514082631885,,,,,,,,,,,,,,
-343.5529109851207,,,,,,,,,,,,,,,
,-122.16465201829446,,,,,,,,,,,,,,
-407.4832244441262,,,,,,,,,,,,,,,
,-332.54080769053246,,,,,,,,,,,,,,
-310.3343962873539,,,,,,,,,,,,,,,
,-323.4554158163045,,,,,,,,,,,,,,
,,2381.148193359375,-0.003576735337264836,96.90310499776231,4901.159375,100,0.2,0.0067968993,-0.0009104013442993164,-223.02921120087126,-8.491442966461182,0.0,0.0207275390625,0.0003,0.9958176612854004
-477.5826944248626,,,,,,,,,,,,,,,
,-341.79194627897704,,,,,,,,,,,,,,
-366.68669266264095,,,,,,,,,,,,,,,
,-331.18030648322963,,,,,,,,,,,,,,
-340.85744938446294,,,,,,,,,,,,,,,
,-173.26401305267404,,,,,,,,,,,,,,
-234.64420057909902,,,,,,,,,,,,,,,
,-339.1156031187613,,,,,,,,,,,,,,
,,3016.333251953125,-0.002730172814335674,97.24416212749388,6119.9673828125,110,0.2,0.0054477653,-0.0007063150405883789,-36.26823144384206,-8.487971115112305,0.0,0.01044921875,0.0003,0.9960179924964905
-301.62039244144023,,,,,,,,,,,,,,,
,-268.1432747150262,,,,,,,,,,,,,,
-203.54231650871444,,,,,,,,,,,,,,,
,-211.89199231012054,,,,,,,,,,,,,,
-266.61510806827243,,,,,,,,,,,,,,,
,-182.6681445301553,,,,,,,,,,,,,,
,-200.55461860434767,,,,,,,,,,,,,,
-432.932483516665,,,,,,,,,,,,,,,
,,2061.58203125,-0.0015574402874335646,90.8419946168386,4047.3759887695314,120,0.2,0.0040773214,-0.0008425712585449219,-10.127079301071253,-8.484106492996215,0.0,0.005029296875,0.0003,0.9934186339378357
-149.51673416881448,,,,,,,,,,,,,,,
,-155.42028024952847,,,,,,,,,,,,,,
-199.12799983222095,,,,,,,,,,,,,,,
,-209.14154631410233,,,,,,,,,,,,,,
-134.66102276306634,,,,,,,,,,,,,,,
,-451.22562208026494,,,,,,,,,,,,,,
-484.3820524208786,,,,,,,,,,,,,,,
,-177.86634047339345,,,,,,,,,,,,,,
,,2388.66552734375,-0.004005304933525622,96.00507605121668,4925.296142578125,130,0.2,0.008081084,-0.00012171268463134766,-151.64938157578598,-8.463003730773925,0.0,0.026123046875,0.0003,0.9897639155387878
-174.69723279465302,,,,,,,,,,,,,,,
,-222.9487820432847,,,,,,,,,,,,,,
-218.02299095573494,,,,,,,,,,,,,,,
,-428.9253964512495,,,,,,,,,,,,,,
-261.9571156569805,,,,,,,,,,,,,,,
,-162.2441155636397,,,,,,,,,,,,,,
-342.7109673365743,,,,,,,,,,,,,,,
,-139.8640557376576,,,,,,,,,,,,,,
,,2495.967529296875,-0.0019457346759736537,99.42727974560434,5279.825952148438,140,0.2,0.003597179,-0.000885009765625,-145.41946365511504,-8.446377754211426,0.0,0.0031005859375,0.0003,0.9884516596794128
-386.24725666023016,,,,,,,,,,,,,,,
,-242.19019044953444,,,,,,,,,,,,,,
-223.63713579015638,,,,,,,,,,,,,,,
,-249.25885036764498,,,,,,,,,,,,,,
-127.12906100005861,,,,,,,,,,,,,,,
,-546.4739646690913,,,,,,,,,,,,,,
-204.38652970691334,,,,,,,,,,,,,,,
,-226.44039926067512,,,,,,,,,,,,,,
,,2337.9794921875,-0.0011989772960077972,142.27060483410685,4631.484594726562,150,0.2,0.0031350043,-0.0006691217422485352,-173.80995963885528,-8.44127197265625,0.0,0.0019287109375,0.0003,0.9876108169555664
-164.2900672951658,,,,,,,,,,,,,,,
,-388.46433173897327,,,,,,,,,,,,,,
-206.28690428729897,,,,,,,,,,,,,,,
,-272.99342074096,,,,,,,,,,,,,,
-373.29933364312404,,,,,,,,,,,,,,,
,-270.734780743731,,,,,,,,,,,,,,
-299.82228522400817,,,,,,,,,,,,,,,
,-528.7575313771542,,,,,,,,,,,,,,
,,2928.939208984375,-0.0021756886853836477,107.00658473153328,6122.570043945312,160,0.2,0.0036352074,-0.0005511045455932617,-84.3556156312543,-8.437540769577026,0.0,0.00341796875,0.0003,0.9873908162117004
,-241.33246777691633,,,,,,,,,,,,,,
-293.89458389747847,,,,,,,,,,,,,,,
,-182.42221361722036,,,,,,,,,,,,,,
-111.39386863400598,,,,,,,,,,,,,,,
,-89.77778674557295,,,,,,,,,,,,,,
-362.0779224338355,,,,,,,,,,,,,,,
,-318.6577171902107,,,,,,,,,,,,,,
-180.53807081558267,,,,,,,,,,,,,,,
,,2088.138671875,-0.00453571358229965,86.36605948616348,4148.3006591796875,170,0.2,0.009773124,-0.0005980730056762695,-75.12567211883203,-8.433676862716675,0.0,0.049951171875,0.0003,0.9858920574188232
,-269.85039179680507,,,,,,,,,,,,,,
-202.63982131343033,,,,,,,,,,,,,,,
,-111.16921534302287,,,,,,,,,,,,,,
-50.698939266734484,,,,,,,,,,,,,,,
,176.67008010351023,,,,,,,,,,,,,,
-207.18345110206988,,,,,,,,,,,,,,,
,-270.30264314022895,,,,,,,,,,,,,,
-158.3814480377379,,,,,,,,,,,,,,,
,,2122.191650390625,-0.0021058750688098373,101.16155782350407,4983.678271484375,180,0.2,0.0074252235,-0.00028717517852783203,36.41027517229809,-8.422437810897828,0.0,0.0241943359375,0.0003,0.9838555455207825
,-168.17523008851325,,,,,,,,,,,,,,
-87.10353659980956,,,,,,,,,,,,,,,
,-119.36761584743985,,,,,,,,,,,,,,
-333.91268872519896,,,,,,,,,,,,,,,
,-199.417746243289,,,,,,,,,,,,,,
-241.2932914330726,,,,,,,,,,,,,,,
,-258.2894541567899,,,,,,,,,,,,,,
-225.69511400695598,,,,,,,,,,,,,,,
,,1761.16357421875,-0.0032649536209646613,83.0589189697827,3427.925244140625,190,0.2,0.007798412,-0.00021505355834960938,29.321076182373968,-8.415806007385253,0.0,0.02392578125,0.0003,0.9843642711639404
,-197.29057537910427,,,,,,,,,,,,,,
-150.0176682311915,,,,,,,,,,,,,,,
-31.56075491980612,,,,,,,,,,,,,,,
,-217.56168138412687,,,,,,,,,,,,,,
-295.3536998395674,,,,,,,,,,,,,,,
,-134.4445704477684,,,,,,,,,,,,,,
-52.91818828043464,,,,,,,,,,,,,,,
,-295.0987242554052,,,,,,,,,,,,,,
-158.544075702651,,,,,,,,,,,,,,,
,,1545.2686767578125,-0.0020528182823909445,149.02822695326745,3046.0437133789064,200,0.2,0.005971377,-0.0002396106719970703,56.29205781511157,-8.418938779830933,0.01,0.0125,0.0003,0.9841260313987732
,-129.95506803497292,,,,,,,,,,,,,,
-162.4723842191433,,,,,,,,,,,,,,,
,-83.02687780268649,,,,,,,,,,,,,,
-116.51324326172157,,,,,,,,,,,,,,,
,-117.2184665195355,,,,,,,,,,,,,,
-108.51053789826797,,,,,,,,,,,,,,,
,-126.02494267613642,,,,,,,,,,,,,,
-216.19691329333028,,,,,,,,,,,,,,,
,-218.3007997241541,,,,,,,,,,,,,,
,,1270.9844970703125,-0.0025569286313839256,89.60866882098183,2483.873913574219,210,0.2,0.0076173088,-0.00011360645294189453,-59.36425162759285,-8.414398908615112,0.0,0.0219970703125,0.0003,0.9830794334411621
-126.5778205567397,,,,,,,,,,,,,,,
,-79.89496551469315,,,,,,,,,,,,,,
89.53813388106798,,,,,,,,,,,,,,,
,-306.98316801213497,,,,,,,,,,,,,,
-292.18273034791554,,,,,,,,,,,,,,,
,-499.4302766047129,,,,,,,,,,,,,,
-308.9910140861416,,,,,,,,,,,,,,,
,-154.80099575281525,,,,,,,,,,,,,,
,,4378.20166015625,-0.0020044016011524944,172.51687428071665,8231.699169921874,220,0.2,0.004467603,-0.0002338886260986328,72.76182230808872,-8.407266569137573,0.02,0.006689453125,0.0003,0.9819767475128174
-89.33961542298944,,,,,,,,,,,,,,,
,-288.65700721396036,,,,,,,,,,,,,,
-34.36873618571276,,,,,,,,,,,,,,,
,63.47789040928543,,,,,,,,,,,,,,
,-220.12015018279143,,,,,,,,,,,,,,
-113.65775302162263,,,,,,,,,,,,,,,
-180.0565933757669,,,,,,,,,,,,,,,
,-90.03528073737519,,,,,,,,,,,,,,
,,2509.359130859375,-0.002582797600189224,180.388530601984,5080.568615722656,230,0.2,0.0072725774,-0.00039184093475341797,75.86873344677828,-8.39706048965454,0.02,0.044970703125,0.0003,0.979013204574585
-81.77936653979938,,,,,,,,,,,,,,,
,-74.40681236962591,,,,,,,,,,,,,,
-55.11064516638832,,,,,,,,,,,,,,,
,-153.14649985715744,,,,,,,,,,,,,,
-368.9062022353798,,,,,,,,,,,,,,,
,-331.04119763722895,,,,,,,,,,,,,,
,-116.34176883616799,,,,,,,,,,,,,,
-134.34554804615004,,,,,,,,,,,,,,,
84.50176104606665,,,,,,,,,,,,,,,
,-89.10667929699287,,,,,,,,,,,,,,
,,2536.938720703125,-0.003570581914391369,153.8327058663663,5485.398046875,240,0.2,0.010165827,0.00021255016326904297,-23.253947866170137,-8.384056091308594,0.01,0.0514892578125,0.0003,0.9793636202812195
-191.67708964807443,,,,,,,,,,,,,,,
,-177.6470266453885,,,,,,,,,,,,,,
-225.72419997176058,,,,,,,,,,,,,,,
,-54.54198164831494,,,,,,,,,,,,,,
-199.82433895719186,,,,,,,,,,,,,,,
,-136.78461745977305,,,,,,,,,,,,,,
-160.2976637840402,,,,,,,,,,,,,,,
,82.82187448781215,,,,,,,,,,,,,,
,,2807.675537109375,-0.003263947798404843,256.982626456956,5540.8143310546875,250,0.2,0.009235695,-4.8279762268066406e-05,100.18469298137384,-8.392202806472778,0.04,0.04462890625,0.0003,0.980851411819458
-75.45120450415168,,,,,,,,,,,,,,,
,-153.4550433214654,,,,,,,,,,,,,,
-250.70354210899094,,,,,,,,,,,,,,,
,8.088365484952607,,,,,,,,,,,,,,
-118.5369235603388,,,,,,,,,,,,,,,
,-170.71199877965546,,,,,,,,,,,,,,
-85.47270328006766,,,,,,,,,,,,,,,
,133.11008082699271,,,,,,,,,,,,,,
,,2011.4739990234375,-0.00532430961029604,189.44642290603252,4594.96259765625,260,0.2,0.009102458,-0.00014328956604003906,52.82770235533179,-8.389369440078735,0.02,0.0956787109375,0.0003,0.9775557518005371
15.226649627786,,,,,,,,,,,,,,,
,-143.13687839236013,,,,,,,,,,,,,,
-160.518517851039,,,,,,,,,,,,,,,
,-108.66327369825945,,,,,,,,,,,,,,
-174.5065522053457,,,,,,,,,,,,,,,
,-209.24113198709833,,,,,,,,,,,,,,
-89.26682160071772,,,,,,,,,,,,,,,
,268.3049076074848,,,,,,,,,,,,,,
-162.16512936579346,,,,,,,,,,,,,,,
,-10.133043041142072,,,,,,,,,,,,,,
,,2726.3359375,-0.003046757506672293,317.3724205266382,4899.4083984375,270,0.2,0.0076859444,-0.00019156932830810547,162.4010034948207,-8.36176357269287,0.07,0.059765625,0.0003,0.9727919697761536
-70.86534300479175,,,,,,,,,,,,,,,
,-29.099391118798554,,,,,,,,,,,,,,
-120.88631500297053,,,,,,,,,,,,,,,
,-55.10049945267603,,,,,,,,,,,,,,
-173.3152071772792,,,,,,,,,,,,,,,
,-11.31193575637258,,,,,,,,,,,,,,
-126.94867661785159,,,,,,,,,,,,,,,
,-251.9677693118536,,,,,,,,,,,,,,
,,1600.8875732421875,-0.004020864237099886,143.89370554827636,3043.455517578125,280,0.2,0.0075290436,-0.00016605854034423828,51.8899761810937,-8.334654283523559,0.01,0.063916015625,0.0003,0.9689643383026123
60.74159401233601,,,,,,,,,,,,,,,
,-156.3806448125814,,,,,,,,,,,,,,
-137.36836996144967,,,,,,,,,,,,,,,
,-150.65649592512403,,,,,,,,,,,,,,
-167.82749043858533,,,,,,,,,,,,,,,
,-49.07855451068765,,,,,,,,,,,,,,
-139.82512040162254,,,,,,,,,,,,,,,
,-92.1706132398389,,,,,,,,,,,,,,
-124.9254615349959,,,,,,,,,,,,,,,
,-91.8010039850401,,,,,,,,,,,,,,
,,1620.3756103515625,-0.003513152274535969,57.719623370676764,3325.094763183594,290,0.2,0.008245828,-0.0003591775894165039,95.43893974473427,-8.315627574920654,0.0,0.052685546875,0.0003,0.9670150876045227
-258.6112661159426,,,,,,,,,,,,,,,
,10.609231961792052,,,,,,,,,,,,,,
-128.13458155082944,,,,,,,,,,,,,,,
,-257.0258880701773,,,,,,,,,,,,,,
-200.02458113346106,,,,,,,,,,,,,,,
,-227.94486036875642,,,,,,,,,,,,,,
14.003477225804483,,,,,,,,,,,,,,,
,-163.44407842778483,,,,,,,,,,,,,,
,,1584.85986328125,-0.003660241619218141,162.77188737366296,3545.479345703125,300,0.2,0.008960352,-0.0002516508102416992,-19.7730118742562,-8.3097403049469,0.01,0.050634765625,0.0003,0.966717541217804
129.19127580146827,,,,,,,,,,,,,,,
,-113.90033867077743,,,,,,,,,,,,,,
12.715525245166472,,,,,,,,,,,,,,,
,-169.16946971357225,,,,,,,,,,,,,,
-342.41542031339606,,,,,,,,,,,,,,,
,-363.1834425229097,,,,,,,,,,,,,,
-145.85417130459876,,,,,,,,,,,,,,,
,-221.01040534015266,,,,,,,,,,,,,,
-100.11567995362239,,,,,,,,,,,,,,,
,,3224.087890625,-0.003320284897927195,255.07128976438122,6674.15927734375,310,0.2,0.009260511,-0.0001342296600341797,115.91588629083262,-8.307707452774048,0.04,0.0406005859375,0.0003,0.966200590133667
,-104.81482629714382,,,,,,,,,,,,,,
-149.55019457230657,,,,,,,,,,,,,,,
,-53.30276108996386,,,,,,,,,,,,,,
-147.18281878549053,,,,,,,,,,,,,,,
,-65.55775059245576,,,,,,,,,,,,,,
-77.62647001848221,,,,,,,,,,,,,,,
,-8.18435037630961,,,,,,,,,,,,,,
-158.7160753058869,,,,,,,,,,,,,,,
,-149.83074141036204,,,,,,,,,,,,,,
-203.68845080015487,,,,,,,,,,,,,,,
,,1405.280029296875,-0.0031540794239845126,201.96319305454512,2818.4626708984374,320,0.2,0.008294772,-5.888938903808594e-05,41.5995270870991,-8.298502016067506,0.02,0.040234375,0.0003,0.9633879661560059
,-95.2371084119558,,,,,,,,,,,,,,
157.74997666924548,,,,,,,,,,,,,,,
,-179.96017493599317,,,,,,,,,,,,,,
-260.8650893226839,,,,,,,,,,,,,,,
,125.93617859111025,,,,,,,,,,,,,,
-46.95864402326724,,,,,,,,,,,,,,,
,3.248049957527408,,,,,,,,,,,,,,
-165.2212053579481,,,,,,,,,,,,,,,
,-91.03922076740527,,,,,,,,,,,,,,
,,3867.664306640625,-0.0033374764723703267,92.39525355682476,8108.1898193359375,330,0.2,0.0071215155,-9.822845458984375e-05,72.17847385414755,-8.28467836380005,0.0,0.0679443359375,0.0003,0.9628261923789978
-242.62725301766096,,,,,,,,,,,,,,,
,-113.50272133792745,,,,,,,,,,,,,,
-135.69760725284294,,,,,,,,,,,,,,,
,-100.68865034523597,,,,,,,,,,,,,,
21.2152436443955,,,,,,,,,,,,,,,
,-168.28211185181206,,,,,,,,,,,,,,
-98.05696034570727,,,,,,,,,,,,,,,
,-53.41649684866574,,,,,,,,,,,,,,
-99.94565671549647,,,,,,,,,,,,,,,
,,1495.3077392578125,-0.0034139194642193614,179.68000796300714,3057.276123046875,340,0.2,0.0064476277,-0.00023031234741210938,27.591736762386855,-8.282828283309936,0.01,0.0561279296875,0.0003,0.9622239470481873
,6.3589525950123775,,,,,,,,,,,,,,
-114.07729532330666,,,,,,,,,,,,,,,
,19.05188907922161,,,,,,,,,,,,,,
-97.22964474588409,,,,,,,,,,,,,,,
,-3.662638802383415,,,,,,,,,,,,,,
-235.34266152382853,,,,,,,,,,,,,,,
,-100.3773899354052,,,,,,,,,,,,,,
-190.53631773542367,,,,,,,,,,,,,,,
,-131.0625777330059,,,,,,,,,,,,,,
,,3373.189208984375,-0.0018603793723741546,109.01952211256786,6507.511547851563,350,0.2,0.007074587,-0.0001779794692993164,44.25365784994053,-8.276293468475341,0.0,0.0283447265625,0.0003,0.9607270359992981
,-85.7620393336886,,,,,,,,,,,,,,
-66.98947697553385,,,,,,,,,,,,,,,
103.9030148227674,,,,,,,,,,,,,,,
,-105.05558392575863,,,,,,,,,,,,,,
-33.76904732710524,,,,,,,,,,,,,,,
,-133.86798075317324,,,,,,,,,,,,,,
,-35.119808998294005,,,,,,,,,,,,,,
-189.41142926271075,,,,,,,,,,,,,,,
,-18.686934718167176,,,,,,,,,,,,,,
-331.9446616516641,,,,,,,,,,,,,,,
,,3279.71337890625,-0.003965348401106894,97.61110273570462,6638.788403320313,360,0.2,0.0100002,2.777576446533203e-05,19.386601118938035,-8.263967752456665,0.0,0.067431640625,0.0003,0.9580966830253601
,-64.67327771655151,,,,,,,,,,,,,,
10.307380705180773,,,,,,,,,,,,,,,
,-223.49878762128165,,,,,,,,,,,,,,
-81.73529613626974,,,,,,,,,,,,,,,
,-38.506762281669204,,,,,,,,,,,,,,
-205.84935708586787,,,,,,,,,,,,,,,
,-218.90815344895168,,,,,,,,,,,,,,
-122.42816060646715,,,,,,,,,,,,,,,
,-161.9979049049826,,,,,,,,,,,,,,
-196.14657146546247,,,,,,,,,,,,,,,
,,2429.538818359375,-0.0017754342639818787,75.42335362584778,4733.062182617187,370,0.2,0.0056989687,-8.988380432128906e-05,93.57722072183266,-8.249743509292603,0.0,0.01123046875,0.0003,0.9566931128501892
,-224.3089501460178,,,,,,,,,,,,,,
-111.06938401340585,,,,,,,,,,,,,,,
,6.691602761176131,,,,,,,,,,,,,,
-142.06015745516893,,,,,,,,,,,,,,,
,-61.34049150739967,,,,,,,,,,,,,,
-139.58428002851292,,,,,,,,,,,,,,,
,67.61867998168003,,,,,,,,,,,,,,
-120.52274068715728,,,,,,,,,,,,,,,
,-78.35371109748932,,,,,,,,,,,,,,
-18.27119280479459,,,,,,,,,,,,,,,
,,2937.218505859375,-0.00039445303846150635,245.94403731819318,5867.385498046875,380,0.2,0.0015141366,-8.630752563476562e-05,135.67554838154842,-8.246799516677857,0.04,7.32421875e-05,0.0003,0.9573132991790771
,-137.04029223784485,,,,,,,,,,,,,,
-98.76135769934365,,,,,,,,,,,,,,,
28.499833457560545,,,,,,,,,,,,,,,
,-85.19317612707466,,,,,,,,,,,,,,
-89.03408005972422,,,,,,,,,,,,,,,
,-67.00714943079142,,,,,,,,,,,,,,
-114.39235133646318,,,,,,,,,,,,,,,
,-126.0485387076059,,,,,,,,,,,,,,
-31.44213880301719,,,,,,,,,,,,,,,
,-47.83762443981258,,,,,,,,,,,,,,
,,1225.3265380859375,-0.0022694076877087356,128.6222228526788,2637.5669921875,390,0.2,0.0035687936,-0.00020313262939453125,9.282586864309867,-8.24965591430664,0.0,0.034033203125,0.0003,0.9566264152526855
-241.3249682188622,,,,,,,,,,,,,,,
,-192.9043357171693,,,,,,,,,,,,,,
21.063347448073767,,,,,,,,,,,,,,,
,-179.32721478693415,,,,,,,,,,,,,,
-66.00659608559721,,,,,,,,,,,,,,,
,14.544370180563842,,,,,,,,,,,,,,
,-231.42963992908375,,,,,,,,,,,,,,
-196.8151968689721,,,,,,,,,,,,,,,
-69.01922645526182,,,,,,,,,,,,,,,
,-71.80478906295376,,,,,,,,,,,,,,
,,2087.985595703125,-0.002163368870969862,64.32436842851138,4421.654016113282,400,0.2,0.005785859,-4.9114227294921875e-05,48.54033691900242,-8.237247037887574,0.0,0.0181640625,0.0003,0.9536527991294861
-93.53116094221994,,,,,,,,,,,,,,,
,-13.656418490148235,,,,,,,,,,,,,,
-218.89610185903317,,,,,,,,,,,,,,,
,-79.38418016395929,,,,,,,,,,,,,,
-88.88357597579545,,,,,,,,,,,,,,,
,-16.945563122484533,,,,,,,,,,,,,,
0.31423106143690516,,,,,,,,,,,,,,,
,-220.50119044330646,,,,,,,,,,,,,,
,-19.215455203035607,,,,,,,,,,,,,,
-40.71715144467702,,,,,,,,,,,,,,,
,,1307.5494384765625,-0.003583735099527985,132.96791156282208,2595.274951171875,410,0.2,0.0049210032,-0.00014293193817138672,12.64528540261894,-8.218975734710693,0.0,0.0558349609375,0.0003,0.9511776566505432
,-83.59133375783901,,,,,,,,,,,,,,
-60.07635685176599,,,,,,,,,,,,,,,
,-67.78061327235953,,,,,,,,,,,,,,
-68.38058885390228,,,,,,,,,,,,,,,
,-80.60095665576026,,,,,,,,,,,,,,
-84.07039654198972,,,,,,,,,,,,,,,
,-108.12722422281419,,,,,,,,,,,,,,
-137.1904941884321,,,,,,,,,,,,,,,
,-11.853004602175625,,,,,,,,,,,,,,
38.51979910283774,,,,,,,,,,,,,,,
,,1632.239501953125,-0.0015700505347922445,149.1080510596368,3300.7291625976563,420,0.2,0.005978292,-3.361701965332031e-05,6.3136483282269715,-8.202981519699097,0.0,0.02177734375,0.0003,0.9482459425926208
,-53.08754878196155,,,,,,,,,,,,,,
-20.438574549737126,,,,,,,,,,,,,,,
,-58.646131145367534,,,,,,,,,,,,,,
-91.65263184795468,,,,,,,,,,,,,,,
,12.605356246694452,,,,,,,,,,,,,,
-20.03673859065284,,,,,,,,,,,,,,,
,-54.998455079079484,,,,,,,,,,,,,,
-7.209679449446682,,,,,,,,,,,,,,,
,-152.4941372284698,,,,,,,,,,,,,,
-46.08686730855617,,,,,,,,,,,,,,,
,,1332.8994140625,-0.004100004665087908,173.53435014882862,2535.1498046875,430,0.2,0.0038043451,-0.0001537799835205078,49.410779617530665,-8.184493017196655,0.01,0.0485107421875,0.0003,0.9452702403068542
,-79.92451133874806,,,,,,,,,,,,,,
-8.857498628704949,,,,,,,,,,,,,,,
,-34.55955189978066,,,,,,,,,,,,,,
-61.913838762863804,,,,,,,,,,,,,,,
,-85.33312377696186,,,,,,,,,,,,,,
-123.75107667204149,,,,,,,,,,,,,,,
,-82.77106909016621,,,,,,,,,,,,,,
9.647198267959464,,,,,,,,,,,,,,,
,-96.28947238865939,,,,,,,,,,,,,,
-40.088242756129624,,,,,,,,,,,,,,,
,,1693.7215576171875,-0.0019647116307169197,253.06394838096077,3269.664343261719,440,0.2,0.0043288996,-8.952617645263672e-05,-60.49317957159721,-8.16448516845703,0.0,0.0255859375,0.0003,0.9420906901359558
,-3.2912980723799876,,,,,,,,,,,,,,
