#{"t_start": 1701501595.04111, "env_id": "None"}
r,l,t
-19-10.183775,102,603.9-380.-6-74.97181,102,605.020942--40.179402,102,--169.42-69--31.250886,102,607.1981-182-178-482.489283,102,611.0-3546.076485,102,612.312996-1-148.119423,10-273.556126,---367.04743,102-181.93518-60-142.589226,10-93.573273-2-2-211.835221,102,616.9007-1-0-66.304419,102,618.075-91-1-47.71548,102,619.2659--15-383.481412,102,620.487-5-55-62.90566,102,621.6790-7-1-198.311234,102,622.874-4.-2-258.640913,102,624.0-104117-98.262502,102,625.25-170.-89.883305,102,626.42-5-117-65.762814,102,627.6-45.-10-264.975495,102,672.-44.3-2--175.254509,102,67-129.71--7-264.743427,10-138.727743-74-173.432568,108.47399-1-240.-181.635886-51.679847--103.0-66.8491514.545822,106-0.94-285.855-21.454759,12-53.968-105.57-189.848212-3-10-583-13-216.-93.888244--266.-113.-297.6-619.450438--48.8-245-115.5528.355864,-38.8660.95-193.-56.171488-27.20-83.012-208-217.60190-103.8-52.5803-41437.954661,35.30-318.1685-1-51.04255639.054214.334182--499.7033-199.00-115.30283-1-186.2827-128.63-372.9312039-189.7740-198.48-136.48-275.191451,10-131.3-136.8-217.523604,102-154.9011.822-139.460038,192-121.22.55946-434.844415,87489.83097-174.-131.70572--4.560125,9453.10-278.280-77.802288,1-73.1505-213.06-315.220115,-137.989369.2756-79.188-53.7-109.6-163.830118.8906-17.5-294.-251.3739-146.60331.106-40.7-80.94218-170.04.1900-32.5-5.103797-126.-67.641-16.9-45.03681-71142-64.742-226.-120.1423-541.-12.95455-837-136.4255-17.-49.57320-4864.087474,11-1-98.081504,--269.450988-2-1-119.2845511.-15.462448-23.559.8904724.7-93.6262337-230.990773,102,-106.410-15152.025653,102,7673.351273.101.228746,102,7-400.6539-152.267851,8-2-67.-122-62-45.00514,102,---159-166-223.595468,102-135.-15734.8-387.58597,102,106.5-139.12--28.693189,102,77-27-76.79176.503827,102,777.-7-170.2-62.617604,102,781.3-1-50.1-102.277609,102,78-1-160.5-190.300481,102,783-1-57.-21474.852364,102,784-1-89.-22-290.78189,102,785--52-23-369.833465,102,787.2-232101-74.534896,102,788.4--1084.44.758135,102,789.63-1.-33-14.614854,102,790.8-48.-7571.300643,102,792.059.228.7.653265,102,793.2-93.915-41.097148,102,794.4-386-67-73.354842,91,795.519-63-3-178.443587,93,796.654-1-47-113.056092,102,839.969-1-4-343.702709,102,841.196-1-7844.348717,102,842.4118-6-924.493569,102,843.63831-29-98.323142,102,844.8477--63-84.021459,102,846.024-82.37.150354,102,847.230016.9-139.758084,102,851.36-167.6-521.440916,102,852.56-108.10.049446,82,8-97.37065-3.268086,102,854.75015-39-29.088013,102,855.924715.3--362.9268-76.058949,1-18.12622.812166,102,858.19117-8.-18.24455,102,859.420-98.3-27.547608,102,860.67-1.353-18.589557,102,861.-50.74280.521868,102,863.13-60.33-86.633525,102,864.316.294-505.819312,97,865-92.55003-288.202669,102,8-266.996392-124.436267,102,8-170.43279-248.455812,102,86-250.47826-13.59006,102,870.-180.42-145.467666,102,871.7-324.38-94.450656,102,872.932.54-26.755122,102,874.2016.903-20.848398,102,878.227.4371-17.771845,91,879-155.2456-94.161107,102,88-20.780099,102,919.820314
-104.208368,102,921.08988--13.16878.216718,90,921.98128.323669,102,923.344029-18.290-46.570642,102,924.24.3632811.545208,102,925-94.7512819.127424,102,926.164.313919.501337,102,928.-102.142-427.99157,102,929.3-38.800-83.581141,102,930.587.392115.757482,102,931.-122.33223.535572,102,932.911.8847-25.890509,102,934.130.2101-8.262927,102,935.80.2354820.96664,102,936.-151.87549.071879,102,937.82-35.45-38.90951,102,939.0497.547-383.599217,102,940.77.58531-322.43263,102,944-98.43761-50.495628,102,94-20.310683167.528708,99,9461222.81561198.113596,93,948-44.16892-0.253303,82,949.-57.0794-271.986524,102,9541.099393,16.68094,87,951.165.5023101.280169,102,952114.76843-62.678925,102,95376.37422-193.067145,102,9-63.95395,816.365523,102,74.681519,911298.138447,834.167001,102,-63.680723,71175.125203,83-71.04057,102-30.238993,10-28.470458,102-482.240299,1-395.781418,10227.210956,83,-17.667715,1-23.875296,95,10-79.9262,1025.000207,102,28.071149,102-196.282723,10-175.141204,102-160.626639,1057.291981,102,-43.156077,1041.532722,631.8-144.68866886.456084,137.471194.38253,-14.850223,9.959612.594402-76.245463,-56.239-278.19504-51.310943,-83.00583.984593,87.448936,-288.0025.20402682.03381,75,1-86.51.979227,90,1017.36610-14-190.722948,102,1018.623-94.9-131.218147,102,1019.8-117.84103.347991,98,1021.06665.571238.266336,100,1022.3-402.4932.866135,81,1023.335618.562.416734,79,1024.25177-28-28.662477,101,1025.528-284.-66.699021,102,1026.7750-26.-16.206413,102,1028.007637.5113.566888,84,1029.06152.99-293.943921,102,1030.-5.66050-15.094847,102,1031146.048721.837064,97,1032.78-22.16-76.225701,102,1034.00143.70-189.742261,102,1070.88.50596-297.431583,84,1063.946437,9-129.095143,1021188.120408,-3-6.190133,89,1074.2741438-29.79342,102,1075.495706-170.746986,87,1076.54636
-56.972559,102,1077.805938
-10.324066,102,1079.09354
50.168854,6698.137807,79,1-60.035021,861.735514,101,11177.457846,100.659275,102,1-74.371546,81082.84849,88,11222.720718,63.317494,80,10-1-402.623845.576874,90,1085-1056.-10-35.061612,86,10861624.4548-182.713471,102,1050.8747129.-25.391958,102,-151.99-154.61178.009809,89,1207-158-5.14-55.61128,102,1-43.3491186.-185.722921,8517-155108.4517-26.377141,1029.85323.45300931.355727,98,1098.135.7181126.572885,98,1099.3129.7211165.96657,80,1100.381.7219-63.154785,102,1101-230.3523-0.183808,83,-94.004418,101217.402866,99,1103.91042.34-310.271151,102,1105.262.148.1175.001683,86,1202.61.72929-169.155225,79,46.366958,102-122.893136,65-86.-96.06417666.436448,1057.154-0.45851459.896189,6-173.518.28181,-25.299319,10-72-95.549732,1-50.368388,9497.050187,87,1-23.452896,810793.764428,105.645433,90,1-2-25.58417861.416921,87,1125-217.578762.829057,93,11121.9-80.83-350.458604,102,11-136.0750091100.569983,82,11107.150288,102.595381,80,11-283.241286,102,1154.835148
1188.02951105.830254,93,1155121.487121129.625031,74,11538.754613,93,1160.90491190-56.29243,-21.533954,102,1-420.84155,1532.876433,101,1100.263042,9191.345759,82,1130.405047,1866.862156,77,11-15.270974,114.418154,102,111164.23175,21.324454,102,11-148.5538141088.242818,67,116147.249573,102,1170.029891
85.761074,87,1171.113482
-49.126257,102,1172.39585
-65.543142,180.305427,95,11-71.80253,102,1174.555149855.303842,6199.356155,93,1-207.364422,1248.8147-86.9812152.67845,9-208.529-87.0732.16363,102,1-625.028873,28.297204,102,1180.287387
-137.18171,102,1181.654536
-267.036999,102,1182.958073
-126.144208,99,1184.174632
-524.982207,100,1218.142368
-69.345043,95,1222.200534
117.941839,89,1223.277339
903.435632,80,1224.277916
1082.488736,57,1224.968474
1112.836287,93,1226.147062
21.783642,68,11001.86674,8135.765761,79,1-108.466378,29.243176,68,122882.597358-69.708624,71,1221126.5646-39.393349,69,1230.-294.176942,102,1231.839876
1130.254.865984,92,1232.8848115.664095,102,1234.009027.11238.136383,86,1235.081069.71180.420063,74,133.5561-147.154.182433,8-2.68849536.830-126.619836,102,1238.326094
889.962332,93,1239.473673
-11.869169,81,1240.501873
66.153067,96,1241.708433
-90.629749,102,1242.996634
-32.252155,85,1244.055232
101.02099,92,1245.216813
0.359605,90,1246.385379
-26.901987,72,1250.244652
150.634111,76,1251.165236
1241.879524,81,1252.271804
1120.223054,84,1253.343415
1239.205231,73,1254.261992-34.960645,102,1255.599164
42.7472,63,1256.399165
-167.956118,97,1257.580651--163.487013,80,1258.626223-8-63.347974,91,1259.7967815-20.007377,102,1261.109439
900.228192,94,1292.729669
-152.726743,84,1293.786803
29.628774,81,1294.837362
86.449746,74,1295.763917
31-75.33038,102,1296.92802182137.787631,69,1297.8115-128106.129012,87,1298.9772106945.646113,75,1299.990755-21048.361571,88,1301.1303181047.409723,96,1302.433609
941.851943,73,1303.392828
54.550841,102,1304.649324
-32.360914,84,1305.769603
132.464221,102,1310.034171
-91.691321,91,1311.190758
58-446.860483,102,1312.409-167.-89.814858,93,1313.59111471341.554423,80,1314.6496-273-107.338706,96,1315.8522-5631.396936,78,1316.846899
-83.73778,94,1317.999468
53.706888,68,1318.89513
1167.173465,85,1319.961752
5.644734,92,1321.10238
-191.089726,102,1322.446546
1162.239054,62,1323.271546
-260.204962,98,1324.545723
98.618578,90,1325.732312
-7.993345,96,1327.032917
85.495521,6652.520099,82,1-340.251373,102,1329.205076
-50.20136-444.467141,102,13-155.062764,102,1331.503854
-357.492339,102,1332.846475
76.35466,77,1368.636106
-591.331177,102,1369.917793
805.794186,93,1374.135087
1174.447723,79,1375.162687
-240.858375,102,1376.514076
1121.173767,80,1377.58818
-71.464909,102,1378.850854
-80.968633,80,1379.886422
85.252592,102,1381.169176
35.643036,53,1381.960389
130.293019,79,1382.962885
1163.356944,60,1383.714523
-219.667612,94,1384.919076
-10.577334,73,1385.815644
4.269875,68,1386.689199
119.647556,86,1387.783846
-206.221752,80,1388.840429
1130.688672,81,1389.850015
97.237399,64,1390.69861
2.37318,55,1391.459387
35.745963,102,1392.738914
-197.094651,102,1394.071531
-8.428999,88,1395.200169
1287.653266,84,1396.37973
-162.569577,102,1397.717969
-26.207401,81,1398.763545
-23.299741,102,1400.013041
-144.946728,90,1404.122752
56.890014,62,1404.935374
10.546375,83,1405.972943
2.05541,71,1406.982149
1213.84133.393619,94,1408.02136.19-73.821721,88,1409.17-3.2472.32002,74,1410.1610-251190.928134,69,1411.1007156.56.733479,82,1412.18093109158.329105,95,1443.6349570.10.791608,65,1444.44695115123.304957,81,1445.5368431058.625268,82,1446.5904310716.337965,81,1447.637998114.797534,75,1448.591567692.383771,88,1449.744204-26.105371,82,1450.77677
-16.650767,69,1451.689327
104.611175,73,1452.64991
86.598755,90,1453.833468
111.73598,66,1454.826094
2.436494,89,1455.946031
101.226386,70,1456.807646
-7.389179,81,1457.882252
35.897137,79,1458.944401
-364.911426,85,1460.050987
12.835148,56,1463.681123
60.540096,86,1464.825109
-2.560803,84,1465.87018
91.067129,82,1466.898857
-11.354462,90,1468.043613
1081.507181,73,181.885399,891263.335241,87,1470.124396
-86.338346,102,1471.431556
25.207737,52,1472.088134
142.968762,89,1473.249265
173.260835,76,1474.259833
160.865835,102,1475.591046
-227.618492,102,1476.989641
1112.320372,75,1477.981803
96.691862,74,1479.005383
19.452601,83,1480.076017
143.527874,69,1480.969602
-82.845089,64,1481.893202
1210.374208,77,1482.896757
172.586751,84,1484.032334
73.050989,81,1485.141958
124.614071,78,1515.015771
1182.301099,75,1516.010182
114.612126,77,1516.980694
68.39798,70,1517.919258
86.340279,73,1518.950825
1035.801061,73,1522.916635
-22.307196,72,1523.93423
138.02282,78,1524.999831
1225.683215,79,1526.067776
1155.08247,56,1526.912342
1191.305436,60,1527.62391
159.265975,77,1528.612502
1244.323584,64,1529.495811
1186.504702,56,1530.294192
43.523848,84,1531.430766
35.525441,74,1532.395335
-181.5742541289.36533,85,1531141.2049350.835915,76,1534102.664471128.723317,78,153-58.546091,102,1536.554415
37.648687,73,1537.562027
142.467221,75,1538.567762
147.097727,86,1539.734327
1213.089569,75,1540.753896
-90.800519,86,1541.869465
119.817914,74,1542.863625
102.437223,73,1543.864207
-17.505685,87,1545.023789
94.521781,83,1546.130339
-103.117028,96,1547.483929
58.447129,53,1548.151495
126.365244,89,1549.3750931235.762312,89,1553.51664
-76.531862,85,1554.718448
188.363813,79,1555.801029
944.78035,94,1557.082127
19.319985,56,1557.86475
1119.893231,72,1558.825382
8.382802,44,1559.471968
-27.51623,77,1560.509096
25.463825,84,1589.105345
1236.847123,83,1590.218534
24.174397,54,1590.940105
102.303891,85,1592.108728
1221.620048,78,1593.150295
-71.703957,71,1594.101454
1235.930967,62,1594.928034
1141.409729,80,1596.044635
41.853499,79,1597.131207
787.724199,88,1598.290528
138.928574,91,1599.620698
-131.697793,76,1600.610303
150.968799,75,1601.534921
66.432427,62,1602.280986
62.959181,100,1603.58516
132.738989,70,1604.497159
-9.118556,94,1605.702348
34.690432,74,1606.661898
1130.904408,70,1607.645517
114.991721,65,1611.433153
69.985801,61,1612.266721
130.103248,90,1613.495302
2.743312,97,1614.791287
187.710448,76,1615.773944
125.934513,72,1616.791322
-5.36147,53,1617.439371
60.68867,70,1618.424874
1119.948487,75,1619.437453
46.498406,60,1620.350213
60.733305,74,1621.373788
1242.451906,84,1622.555954
17.735594,62,1623.372953
1173.021725,76,1624.397535
1229.396499,64,1625.247091
57.235951,63,1626.101644
118.575809,87,1627.300218
89.512641,80,1628.366847
-221.383439,87,1629.536015
55.749184,70,1630.465964
1128.981852,55,1631.201577
1158.112154,65,1661.624797
-119.516273,72,1662.5953.103140.654348,74,1663.6-57.5071125.39225,78,1664.6-115.79.139071,74,1665.687791151283.382601,81,1666.815384
2.005001,78,1667.880057
113.132564,74,1671.776305
915.682506,74,1672.820026
6.445652,48,1673.517244
42.401947,58,1674.252244
1177.056475,62,1675.067849
7.795451,51,1675.786066
1114.931403,62,1676.58866311-43.810039,72,1677.558832
141.245796,68,1678.420833
1082.050129,85,1679.538019
-190.183381,87,1680.7046
47.376598,82,1681.81022
94.019638,69,1682.794867
-16.662183,86,1683.984425
36.007198,86,1685.196078
948.150281,85,1686.38366
1197.695839,71,1687.348241
70.729005,84,1688.574522
-2.596511,75,1689.5481
129.499214,71,1690.471099
-37.189416,95,1691.790327
-367.977032,69,1692.788869
1151.468629,72,1693.749427
55.958184,54,1694.461427
143.248736,86,1695.64864
26.042963,80,1696.735266
1051.284622,54,1697.457232
119.212685,81,1698.557437
9.887299,49,1702.184218
1116.511527,52,1702.924356
-114.904548,64,1703.721875
157.200121,87,1704.899494
68.701977,63,1705.80954
-81.907823,66,1706.704194
114.295194,68,1707.64977
1055.566073,67,1737.83235
134.703394,72,1738.875955
1124.330768,53,17-183.1263851213.808513,66,171245.7285371184.075275,57,17172.610562,962.274222,63,1778.91545,66167.11937,76,11283.156132,141.185842,75,1749.851822,7-28.236719,57,1-58.670352,11250.403055,70,1140.57986,10122.488766,88,1746.8903893-70.923162,66,1-337.674681,1207.642857,57,171169.051-161186.286575,1047.106.243113,89,1749.9296-0.7140.681236.111.043543,-14143.1527740.938886,84,17519-190.81281,97,1753.092406-160.548465,80,1754.12799
27.496735,76,1755.175584
-98.173213,59,1755.869149
-379.991905,81,1756.942743
1241.047754,71,1757.897313
32.188103164.308302,72,1761131.68891134.657797,81,1762125.7122178.400422,67,1763.87.89401205.049957,66,176480.67628815.877779,75,1765-51.660411029.074397,81,17611371102.1155.82826,80,1767.1006.4883.226952,69,1768.759-6121-138.572065,54,1769.50614.841198.705141,62,1770-11164.3666.389986,87,1771.4129.71919.614773,80,1772.51067.9-194.860651,71,1773.52-40.1652.812863,59,1774.33258.04109.11711,76,1775.408145.7-18.452971,75,1776.436116.9-206.931339,84,1777.634751
1161.016184,72,1778.686314
158.810396,64,1779.536885
-304.504671,101,1808.26495
170.094503,97,1809.570771
23.61067,81,1810.683344
-19.572878,68,1811.595916
1111.061062,44,1812.152918
1270.722014,83,1813.249483
1249.913374,85,1814.452622
184.536102,65,1815.316673
1148.564069,55,1816.02625
1207.465069,75,1819.936081
127.029941,79,1820.963665
1304.148926,77,1821.989247
1168.835547,80,1823.098828
1167.529004,50,1823.768421
90.9714,79,1824.860977
176.734866,90,1826.109553
-87.955107,70,1827.018848
111.493948,63,1827.882134
48.181665,65,1828.69604
1152.6345,64,18159.568811,1134.720513,80,1-67.585558,9946.493818,78,1831.780843
106.614908,63,18-12.184176,1243.429801,70,1-131.318764,171.287913,70,181236.110548-177.591522,102,101.100717,911287.932544,75152.062583,721143.473011,661240.464348,8834.927161,72,1-24.034582,776.912749,89,18-126.6571241232.494745,72,181167.8492981282.406403,77,1842.124081
54.512752,67,1843.104244
1017.153366,54,1241.155124,790.387684,58,1899.414043,716.21362,43,18483.17083,5152.165524,84,11207.597112,1175.082094,77,71.08192,63,1974.608874,77,1851.394893
10.312581,64,1852.278501
-79.930079,72,62.047045,102-480.048748,102,1854.723173
202.430707,79,1887.582046
4.288609,55,1888.313046
6.139723,76,1889.302906
172.550607,71,1890.249475
87.940465,63,1891.152037
1074.043585,83,1892.249221
1171.724039,57,1893.001051
1163.012837,73,160.790564,81-76.796337,79,1895.119199
-45.02635,71,1896.086774
126.223471,78,1897.085342
1244.260912,68,1898.036477
882.370656,56,181245.52403,183.833357,73,1899.734413
-14.566856,47,1901212.9431-34.062946,80,1901.53954
103.224618,72,1902.541128
1143.627076,65,1903.428729
1114.210702,51,190464.688284-93.972557,101,1905.5749
22.124981,67,1906.500481
50.504237,77,1907.546077
82.444808,67,1908.391075
1263.379239,78,1909.487292
28.65854,58,1913.254978
31.273634,55,1913.956542
99.515462,80,1915.080107
1233.819399,72,1916.043677
58.5966,71,1917.04032
-48.121663,68,1917.954899
1132.668303,59,1918.806487
20.075216,69,1919.761058
44.191238,71,1920.768637
1278.267282,72,1921.734216
170.978181,76,1922.812804
93.034696,68,1923.802376
108.420732,66,1924.702932
1134.416657,67,1925.670491
83.25942977.76476,98,1926.96.846491169.485628,56,192-25.6680191218.109915,73,19-150.428846,102,1929.734772
1281.230253,76,1962.873935
-41.449113,54,1963.612168
54.461221.592267,73,1964.5.542431260.6814,70,1965.9.307238,89,1966.560882
1208.368606,73,1967.599475
-110.37045,99,1968.931081
-15.527718,59,1969.769685
-133.648466,78,1970.874216
23.942619,62,1971.759777
60.197041,5918.836222,74,1-224.662053,76,1976.501626
1236.21538210.369018,72,191182.071172,52,1978.085234
1259.34901123.379576,74,19781146.346100.808177,77,1979.91132.661078.521168,46,1980.1085.1021264.598368,70,1981.205.368806,83,1982.654112
45.5157174.039982,75,1983.1097.95483,76,1984.729624
1182.3181240.508866,75,19851136.767713.378537,83,1986.7136.91228.055539,60,1987.5137.2031211.850974,78,1988.-27.69551205.878699,81,1989715.1541169.174681,86,1990.-97.65821224.271292,67,1991.887633
758.283296,89,1993.113283
192.659268,78,1994.233803
1096.391689,57,1995.002379
35.56561,66,1995.95303
164.688713,81,1997.041606
126.638316,71,1997.994178
21.385033,62,1998.849777
1243.195152,76,1999.899374
1214.147142,70,2000.816945
21.216048,82,2002.027536
54.5735,61,2002.879137
118.922908,71,2003.797712
218.735274,70,2007.72099
1234.714369,82,2008.869695
1117.666442,45,2009.550225
175.201412,77,2042.1703
1093.041155,69,2043.186894
100.379284,62,2044.033463
1130.0951,62,2044.877032
-26.880219,76,2045.909626
40.70356,59,2046.739188
1066.388015,67,2047.710754
1227.680707,74,2048.771341
189.550206,81,2049.876939
-27.822958,78,2050.9625
14.287074,71,2051.898073
1156.302269,54,2052.590648
49.486538,47,2053.299264
156.669361,82,2054.416837
26.791524,56,2055.179837
-268.158531,91,2056.514998
112.911692,70,2057.464575
35.806921,75,2058.542172
3.046751,65,2059.395747
1162.891644,71,2060.407305
50.325694,47,2061.044303
-26.823442,58,2061.852894
85.535286,61,2062.733955
67.743381,57,2063.568563
22.395293,49,2064.257295
76.061655,78,2065.287701
83.186578,57,2066.087879179.227237,63,2066.982436
182.335447,79,2071.01020691222.627895,85,2072.202781
91.679481,66,2073.10635
-93.365613,70,2074.053802
51.000781,46,2074.76354
41.11912,50,2075.517108
58.239634,53,2076.200109
1261.514065,80,2077.302261
33.082904,58,2078.11926
101.252059,65,2078.96897
1263.018668,73,2080.008598
1087.933349,58,2080.834169
1139.224706,54,2081.600637
1239.655802,65,2082.541684
1079.037.1953,54,2083.26044182.024573,71,2084.071906
65.708708,72,2085.141375
25.860495,65,2086.057952
1170.784783,61,2115.365292--194.902103,80,2116.462902201229.353044,63,2117.3734112786.800454,56,2118.209489121223.66518,59,2119.01308
30157.531573,81,2120.28110116142.518929,62,2121.1796628.989151,71,2122.027811
1185.657418,68,2122.9829543192.287797,79,2124.10350173-112.005466,65,2125.008111
126.634346,72,2125.72639.07175.79955,73,2126.74158.34103.770728,72,2130.631252.41003.660945,64,2131.59121.011280.322133,71,2132.51322.9159.376895,69,2133.530153.11265.857531,73,2134.5124.58-163.829663,76,2135.56075711053.218054,77,2136.6163341-10.684284,64,2137.5380015102.100961,70,2138.519561156.355847,84,2139.6093231133.257195,66,2140.523981
108.474879,60,2141.3920198145.155879,68,2142.32803212116.060306,79,2143.37115111211.504638,78,2144.506057
1271.794594,76,2145.571712
14.49992,64,2146.37330113-5.764238,70,2147.361838
-8.704357,58,2148.085839
49.408179,69,2149.044406
1076.859726,68,2150.01609
139.657123,73,2151.143663
988.935875,63,2152.013389
1238.378645,84,2153.183902
1246.435746,69,2154.19165711148.067066,57,2155.02717921233.229302,60,2155.856801-51150.508619,63,2156.7765718969.616682,57,2157.56034105117.056009,70,2158.57712-421187.462856,66,2162.3821-114890.744922,80,2191.4068512141.67269,82,2192.541428
128.669713,61,2193.4390721156.683329,63,2194.36970431196.668835,63,2195.33126-7.26.025984,60,2196.264271248.723375,56,2197.036817
1149.087673,51,2197.806368111141.813959,66,2198.734741.553078,73,2199.857811
78.7108.215291,63,2200.548231.51303.419075,79,2201.671238.329.254055,71,2202.7281136.582881,68,2203.695746
15.9054,63,2204.634328
63.596695,59,2205.489929
-118.48290118.975477,81,2206168.0864591.323235,81,2207.980.02890.953457,82,2208.8442.759-51.720636,81,2210.1142.9771017.404028,62,2210181.861773.205498,52,2211.6133.181-14.519881,70,2212.6-89.11610.920501,82,2213.76106.123142,79,2214.630181
